id,lat,lon,severity_level,severity_weight,category
I1,53.404721,-1.48195,MEDIUM,50,flood
I2,53.367033,-1.461185,HIGH,75,flood
I3,53.390559,-1.388574,CRITICAL,100,flood
I4,53.396937,-1.47147,HIGH,75,flood
I5,53.396861,-1.440317,HIGH,75,flood
I6,53.394495,-1.465924,MEDIUM,50,flood
I7,53.428298,-1.376703,HIGH,75,flood
I8,53.412699,-1.427755,HIGH,75,flood
I9,53.355938,-1.491796,LOW,25,flood
I10,53.381722,-1.471403,HIGH,75,flood
I11,53.407603,-1.429822,HIGH,75,flood
I12,53.4164,-1.50419,LOW,25,flood
I13,53.360175,-1.536762,HIGH,75,flood
I14,53.347202,-1.418912,HIGH,75,flood
I15,53.396428,-1.521426,MEDIUM,50,flood
I16,53.395551,-1.426058,HIGH,75,flood
I17,53.35991,-1.506136,MEDIUM,50,flood
I18,53.388948,-1.498909,MEDIUM,50,flood
I19,53.407127,-1.417435,HIGH,75,flood
I20,53.336486,-1.477289,LOW,25,flood
